UTC Date & Time,Voyage No.,Steaming time (HRS),FW production (MT),FW production /24 
26-Aug-21,01 L,3.6,1,6.67
27-Aug-21,01 L,24,12,12
28-Aug-21,01 L,24,15,15
29-Aug-21,01 L,24,14,14
30-Aug-21,01 L,24,16,16
31-Aug-21,01 L,24,14,14
1-Sep-21,01 L,24,14,14
2-Sep-21,01 L,24,15,15
2-Sep-21,01 L,9,0,0
14-Sep-21,02 L,12.9,0,0
16-Sep-21,02 L,17.9,12,16.09
17-Sep-21,02 L,24,18,18
18-Sep-21,02 L,24,18,18
19-Sep-21,02 L,24,18,18
19-Sep-21,02 L,8.8,0,0
9-Oct-21,03 L,13,5,9.23
10-Oct-21,03 L,24,16,16
11-Oct-21,03 L,24,16,16
12-Oct-21,03 L,24,16,16
13-Oct-21,03 L,24,16,16
14-Oct-21,03 L,24,16,16
15-Oct-21,03 L,24,16,16
15-Oct-21,03 L,15,12,19.2
29-Oct-21,04 L,12,8,16
30-Oct-21,04 L,24,5,5
31-Oct-21,04 L,24,15,15
1-Nov-21,04 L,24,16,16
2-Nov-21,04 L,24,16,16
3-Nov-21,04 L,24,16,16
4-Nov-21,04 L,24,16,16
4-Nov-21,04 L,2.5,2,19.2
23-Nov-21,05 L,15.5,13,20.13
24-Nov-21,05 L,24,20,20
25-Nov-21,05 L,24,20,20
26-Nov-21,05 L,24,20,20
27-Nov-21,05 L,21,17,19.43
28-Nov-21,05 L,16,16,24
29-Nov-21,05 L,24,20,20
30-Nov-21,05 L,24,20,20
30-Nov-21,05 L,3,4,32
19-Dec-21,06L,23.4,15,15.38
20-Dec-21,06L,24,18,18
21-Dec-21,06L,24,20,20
22-Dec-21,06L,24,19,19
23-Dec-21,06L,24,20,20
24-Dec-21,06L,24,19,19
25-Dec-21,06L,24,20,20
25-Dec-21,06L,15.4,10,15.58
13-Jan-22,07 L,4,0,0
14-Jan-22,07 L,24,14,14
15-Jan-22,07 L,24,17,17
16-Jan-22,07 L,24,18,18
17-Jan-22,07 L,24,17,17
17-Jan-22,07 L,15,9,14.4
19-Jan-22,07 L,15.4,10,15.58
20-Jan-22,07 L,24,17,17
21-Jan-22,07 L,24,17,17
21-Jan-22,07 L,5,0,0
12-Feb-22,08L,20,11,13.2
13-Feb-22,08L,24,0,0
14-Feb-22,08L,24,16,16
15-Feb-22,08L,24,17,17
16-Feb-22,08L,24,17,17
17-Feb-22,08L,24,17,17
18-Feb-22,08L,24,17,17
18-Feb-22,08L,2,0,0
6-Mar-22,09L,11,18,39.27
7-Mar-22,09L,24,12,12
8-Mar-22,09L,24,16,16
9-Mar-22,09L,24,16,16
10-Mar-22,09L,24,18,18
11-Mar-22,09L,24,18,18
12-Mar-22,09L,24,18,18
13-Mar-22,09L,19.2,3,3.75
5-Apr-22,010 L,16.7,0,0
6-Apr-22,010 L,24,20,20
7-Apr-22,010 L,24,19,19
8-Apr-22,010 L,24,19.6,19.6
9-Apr-22,010 L,24,19,19
10-Apr-22,010 L,24,19,19
11-Apr-22,010 L,24,19.5,19.5
12-Apr-22,010 L,24,18.8,18.8
13-Apr-22,010 L,22.5,19.1,20.37
14-Apr-22,010 L,24,19.3,19.3
15-Apr-22,010 L,24,12.2,12.2
15-Apr-22,010 L,10.4,8.3,19.15
18-Apr-22,010 L1,9.5,6,15.16
19-Apr-22,010 L1,24,19,19
20-Apr-22,010 L1,24,18,18
21-Apr-22,010 L1,24,19,19
22-Apr-22,010 L1,24,19,19
23-Apr-22,010 L1,24,19,19
24-Apr-22,010 L1,24,19,19
25-Apr-22,010 L1,24,19,19
26-Apr-22,010 L1,24,19,19
27-Apr-22,010 L1,24,21,21
28-Apr-22,010 L1,24,23,23
29-Apr-22,010 L1,24,0,0
30-Apr-22,010 L1,21.3,18,20.28
1-Jun-22,011 L,14,10,17.14
2-Jun-22,011 L,24,18,18
3-Jun-22,011 L,24,17,17
4-Jun-22,011 L,24,18,18
5-Jun-22,011 L,24,18,18
6-Jun-22,011 L,24,0,0
7-Jun-22,011 L,24,18,18
8-Jun-22,011 L,24,15,15
8-Jun-22,011 L,11,9,19.64
23-Jun-22,012 L,15.2,10,15.79
24-Jun-22,012 L,24,18,18
25-Jun-22,012 L,24,17,17
26-Jun-22,012 L,24,17,17
27-Jun-22,012 L,24,17,17
28-Jun-22,012 L,24,17,17
29-Jun-22,012 L,24,18,18
30-Jun-22,012 L,24,17,17
1-Jul-22,012 L,18.2,13,17.14
